room 1 2020-12-07 19:37:43.729
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -65
1 04:bd:88:76:f9:f2 -66
2 04:bd:88:76:f9:e2 -55
3 04:bd:88:76:f9:f0 -66
4 04:bd:88:76:f9:e0 -57
5 04:bd:88:76:f9:e1 -57
6 04:bd:88:76:f5:81 -82
7 04:bd:88:76:f5:80 -82
8 04:bd:88:76:f4:22 -81
9 04:bd:88:76:f6:82 -85
10 16:ae:db:f9:8e:5a -85
11 62:45:b7:78:a1:82 -86

room 1 2020-12-07 19:37:50.784
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -65
1 04:bd:88:76:f9:f2 -64
2 04:bd:88:76:f9:e2 -54
3 04:bd:88:76:f9:f0 -64
4 04:bd:88:76:f9:e0 -59
5 04:bd:88:76:f9:e1 -59
6 04:bd:88:76:f5:81 -82
7 04:bd:88:76:f5:80 -81
8 16:ae:db:f9:8e:5a -86
9 70:8b:cd:5e:4f:f0 -85
10 04:bd:88:76:f7:22 -86
11 04:bd:88:77:07:22 -86
12 84:d4:7e:4a:68:02 -87
13 60:38:e0:bd:e6:29 -87
14 62:45:b6:ce:ac:21 -74
15 18:64:72:29:09:c1 -84
16 18:64:72:29:09:c0 -84

room 1 2020-12-07 19:37:57.788
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -66
1 04:bd:88:76:f9:f2 -67
2 04:bd:88:76:f9:e2 -57
3 04:bd:88:76:f9:f0 -66
4 04:bd:88:76:f9:e0 -60
5 04:bd:88:76:f9:e1 -60
6 04:bd:88:76:f5:81 -82
7 04:bd:88:76:f5:80 -81
8 16:ae:db:f9:8e:5a -85
9 70:8b:cd:5e:4f:f0 -85
10 04:bd:88:76:f7:22 -86
11 04:bd:88:77:07:22 -86
12 84:d4:7e:4a:68:02 -85
13 60:38:e0:bd:e6:29 -87
14 62:45:b6:ce:ac:21 -74
15 18:64:72:29:09:c1 -84
16 18:64:72:29:09:c0 -84
17 34:af:2c:57:6e:1d -75
18 04:bd:88:76:f5:82 -77
19 98:e7:f4:45:9b:4a -85
20 62:45:b7:78:a1:82 -87

room 1 2020-12-08 02:38:05.787
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -65
1 04:bd:88:76:f9:e2 -60
2 04:bd:88:76:f9:e1 -63
3 04:bd:88:76:f9:f2 -65
4 04:bd:88:76:f9:f0 -65
5 04:bd:88:76:f9:e0 -63
6 04:bd:88:76:f4:22 -85
7 04:bd:88:76:f4:21 -88
8 04:bd:88:76:f4:20 -87
9 22:f5:43:71:f4:a6 -85
10 d8:eb:97:ed:c8:36 -89
11 62:45:b6:ce:ac:21 -77
12 18:64:72:29:09:c0 -86
13 18:64:72:29:09:c1 -84
14 18:64:72:29:09:c2 -83
15 10:da:43:0e:46:de -91
16 84:d4:7e:4a:d4:a2 -92
17 fe:f5:c4:82:95:d6 -91
18 16:ae:db:f9:8e:5a -90

