room 2 2020-12-18 00:03:28.003
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -45
1 04:bd:88:76:f9:f2 -44
2 04:bd:88:76:f9:e2 -54
3 34:af:2c:57:6e:1d -81
4 04:bd:88:76:f4:22 -81
5 04:bd:88:76:f5:82 -82
6 18:64:72:29:09:d2 -90
7 84:d4:7e:4a:ae:82 -84
8 04:bd:88:77:07:22 -85
9 70:8b:cd:5e:4f:f0 -87
10 04:bd:88:76:f4:c2 -89
11 04:bd:88:76:f7:22 -90
12 62:45:b6:ce:ac:21 -85
13 62:45:b7:78:a1:82 -87
14 04:bd:88:76:f9:f0 -44
15 04:bd:88:76:f9:e0 -47
16 04:bd:88:76:f9:e1 -47
17 04:bd:88:76:f5:81 -80
18 18:64:72:29:09:d0 -88
19 18:64:72:29:09:d1 -88
20 04:bd:88:76:f4:21 -83
21 04:bd:88:76:f5:80 -83
22 04:bd:88:76:f4:20 -84
23 04:bd:88:77:07:21 -87

room 2 2020-12-18 00:03:31.984
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -47
1 04:bd:88:76:f9:f2 -50
2 04:bd:88:76:f9:e2 -45
3 34:af:2c:57:6e:1d -77
4 04:bd:88:76:f4:22 -82
5 04:bd:88:76:f5:82 -86
6 18:64:72:29:09:d2 -90
7 84:d4:7e:4a:ae:82 -85
8 04:bd:88:77:07:22 -83
9 70:8b:cd:5e:4f:f0 -90
10 04:bd:88:76:f4:c2 -89
11 04:bd:88:76:f7:22 -90
12 62:45:b6:ce:ac:21 -85
13 62:45:b7:78:a1:82 -87
14 04:bd:88:76:f9:f0 -51
15 04:bd:88:76:f9:e0 -43
16 04:bd:88:76:f9:e1 -41
17 04:bd:88:76:f5:81 -80
18 18:64:72:29:09:d0 -88
19 18:64:72:29:09:d1 -88
20 04:bd:88:76:f4:21 -83
21 04:bd:88:76:f5:80 -83
22 04:bd:88:76:f4:20 -84
23 04:bd:88:77:07:21 -87
24 98:e7:f4:45:9b:4a -82
25 04:bd:88:76:f5:92 -90
26 18:64:72:29:09:c2 -85
27 84:d4:7e:4a:68:02 -86
28 84:d4:7e:4a:d4:a2 -89
29 04:bd:88:77:08:22 -89
30 84:d4:7e:4a:ae:80 -81
31 84:d4:7e:4a:ae:81 -82
32 04:bd:88:76:f5:90 -91
33 84:d4:7e:4a:d4:a1 -87
34 84:d4:7e:4a:d4:a0 -87
35 04:bd:88:76:f6:81 -89
36 04:bd:88:77:08:20 -90

room 2 2020-12-18 00:03:36.105
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -42
1 04:bd:88:76:f9:f2 -42
2 04:bd:88:76:f9:e2 -45
3 34:af:2c:57:6e:1d -77
4 04:bd:88:76:f4:22 -82
5 04:bd:88:76:f5:82 -76
6 84:d4:7e:4a:ae:82 -85
7 04:bd:88:77:07:22 -83
8 70:8b:cd:5e:4f:f0 -87
9 04:bd:88:76:f9:f0 -42
10 04:bd:88:76:f9:e0 -47
11 04:bd:88:76:f9:e1 -47
12 04:bd:88:76:f5:81 -78
13 04:bd:88:76:f5:80 -78
14 98:e7:f4:45:9b:4a -84
15 04:bd:88:76:f5:92 -90
16 18:64:72:29:09:c2 -86
17 84:d4:7e:4a:68:02 -86
18 84:d4:7e:4a:d4:a2 -89
19 04:bd:88:77:08:22 -88
20 84:d4:7e:4a:ae:80 -81
21 84:d4:7e:4a:ae:81 -82
22 04:bd:88:76:f5:90 -88
23 84:d4:7e:4a:d4:a1 -87
24 84:d4:7e:4a:d4:a0 -87
25 04:bd:88:76:f6:81 -89
26 04:bd:88:77:08:20 -90
27 04:bd:88:76:f6:92 -90
28 16:ae:db:f9:8e:5a -86
29 84:d4:7e:4a:4b:e2 -90
30 04:bd:88:76:f5:91 -90
31 18:64:72:29:09:c1 -85
32 12:d0:7a:c5:05:b5 -86
33 18:64:72:29:09:c0 -86

room 2 2020-12-18 00:03:40.111
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -59
1 04:bd:88:76:f9:f2 -59
2 04:bd:88:76:f9:e2 -56
3 34:af:2c:57:6e:1d -77
4 04:bd:88:76:f4:22 -83
5 04:bd:88:76:f5:82 -85
6 70:8b:cd:5e:4f:f0 -86
7 04:bd:88:76:f9:f0 -59
8 04:bd:88:76:f9:e0 -58
9 04:bd:88:76:f9:e1 -58
10 04:bd:88:76:f5:81 -78
11 04:bd:88:76:f5:80 -78
12 98:e7:f4:45:9b:4a -84
13 18:64:72:29:09:c2 -87
14 04:bd:88:77:08:22 -88
15 04:bd:88:76:f5:90 -88
16 04:bd:88:76:f6:92 -88
17 16:ae:db:f9:8e:5a -86
18 84:d4:7e:4a:4b:e2 -90
19 04:bd:88:76:f5:91 -90
20 18:64:72:29:09:c1 -85
21 12:d0:7a:c5:05:b5 -86
22 18:64:72:29:09:c0 -86
23 04:bd:88:76:f4:32 -89
24 a0:8c:fd:6d:ee:72 -85
25 84:d4:7e:4a:92:82 -86
26 04:bd:88:76:f7:22 -86
27 20:a6:cd:fd:07:42 -89
28 84:d4:7e:4a:d5:42 -89
29 84:d4:7e:4a:d1:e2 -89
30 04:bd:88:76:f4:20 -77
31 04:bd:88:76:f4:21 -78
32 04:bd:88:76:f6:90 -87
33 04:bd:88:76:f4:31 -89
34 04:bd:88:76:f6:91 -89
35 84:d4:7e:4a:d5:41 -86
36 04:bd:88:76:f7:20 -87

room 2 2020-12-18 00:03:44.098
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -52
1 04:bd:88:76:f9:f2 -51
2 04:bd:88:76:f9:e2 -52
3 04:bd:88:76:f4:22 -74
4 04:bd:88:76:f5:82 -82
5 70:8b:cd:5e:4f:f0 -85
6 04:bd:88:76:f9:f0 -52
7 04:bd:88:76:f9:e0 -52
8 04:bd:88:76:f9:e1 -52
9 04:bd:88:76:f5:80 -82
10 98:e7:f4:45:9b:4a -86
11 18:64:72:29:09:c2 -84
12 04:bd:88:76:f6:92 -88
13 16:ae:db:f9:8e:5a -88
14 18:64:72:29:09:c1 -85
15 04:bd:88:76:f4:32 -87
16 a0:8c:fd:6d:ee:72 -85
17 84:d4:7e:4a:92:82 -89
18 04:bd:88:76:f7:22 -86
19 20:a6:cd:fd:07:42 -89
20 84:d4:7e:4a:d5:42 -89
21 84:d4:7e:4a:d1:e2 -89
22 04:bd:88:76:f4:20 -77
23 04:bd:88:76:f4:21 -80
24 04:bd:88:76:f6:90 -87
25 04:bd:88:76:f4:31 -89
26 04:bd:88:76:f6:91 -89
27 84:d4:7e:4a:d5:41 -86
28 04:bd:88:76:f7:20 -87
29 ca:3a:6b:95:77:09 -92

room 2 2020-12-18 00:03:48.087
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -50
1 04:bd:88:76:f9:f2 -50
2 04:bd:88:76:f9:e2 -51
3 04:bd:88:76:f4:22 -77
4 04:bd:88:76:f5:82 -68
5 70:8b:cd:5e:4f:f0 -89
6 04:bd:88:76:f9:f0 -50
7 04:bd:88:76:f9:e0 -49
8 04:bd:88:76:f9:e1 -49
9 04:bd:88:76:f5:80 -77
10 98:e7:f4:45:9b:4a -82
11 18:64:72:29:09:c2 -79
12 16:ae:db:f9:8e:5a -88
13 18:64:72:29:09:c1 -80
14 04:bd:88:76:f4:32 -88
15 84:d4:7e:4a:92:82 -89
16 04:bd:88:76:f7:22 -86
17 84:d4:7e:4a:d5:42 -90
18 84:d4:7e:4a:d1:e2 -90
19 04:bd:88:76:f4:20 -78
20 04:bd:88:76:f4:21 -78
21 04:bd:88:76:f4:31 -88
22 ca:3a:6b:95:77:09 -92
23 18:64:72:29:09:d2 -88
24 86:2a:fd:60:d4:6f -87
25 84:d4:7e:4a:68:02 -87
26 62:45:b7:78:a1:82 -87
27 04:bd:88:76:f5:81 -77
28 18:64:72:29:09:c0 -80
29 18:64:72:29:09:d1 -89
30 04:bd:88:76:f4:30 -90
31 04:bd:88:77:08:20 -86
32 04:bd:88:76:f7:21 -88
33 12:d0:7a:c5:05:b5 -90

room 2 2020-12-18 00:03:52.072
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -47
1 04:bd:88:76:f9:f2 -47
2 04:bd:88:76:f9:e2 -48
3 04:bd:88:76:f4:22 -77
4 04:bd:88:76:f5:82 -84
5 70:8b:cd:5e:4f:f0 -89
6 04:bd:88:76:f9:f0 -47
7 04:bd:88:76:f9:e0 -43
8 04:bd:88:76:f9:e1 -43
9 04:bd:88:76:f5:80 -80
10 98:e7:f4:45:9b:4a -82
11 18:64:72:29:09:c2 -79
12 18:64:72:29:09:c1 -80
13 04:bd:88:76:f4:32 -88
14 04:bd:88:76:f7:22 -86
15 84:d4:7e:4a:d5:42 -90
16 84:d4:7e:4a:d1:e2 -90
17 04:bd:88:76:f4:20 -78
18 04:bd:88:76:f4:21 -78
19 04:bd:88:76:f4:31 -88
20 18:64:72:29:09:d2 -88
21 86:2a:fd:60:d4:6f -87
22 84:d4:7e:4a:68:02 -83
23 62:45:b7:78:a1:82 -87
