room 3 2020-11-30 23:31:18.099
                BSSID  RSSI
0 04:bd:88:76:f9:e1 -51
1 04:bd:88:76:f9:e0 -51
2 04:bd:88:76:f9:e2 -60
3 04:bd:88:76:f9:f0 -62
4 04:bd:88:76:f9:f1 -62
5 04:bd:88:76:f9:f2 -62
6 62:45:b6:ce:ac:21 -69
7 da:d5:a7:1c:36:b4 -73
8 62:45:b7:78:a1:82 -74
9 04:bd:88:77:08:32 -87
10 04:bd:88:77:08:30 -88
11 04:bd:88:77:08:31 -89

room 3 2020-11-30 23:31:57.696
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -52
1 04:bd:88:76:f9:e1 -56
2 04:bd:88:76:f9:e0 -56
3 04:bd:88:76:f9:f0 -69
4 04:bd:88:76:f9:f1 -69
5 04:bd:88:76:f9:f2 -69
6 da:d5:a7:1c:36:b4 -69
7 62:45:b7:78:a1:82 -72
8 62:45:b6:ce:ac:21 -72
9 04:bd:88:76:f4:22 -84
10 04:bd:88:77:08:30 -86
11 04:bd:88:77:08:31 -86
12 04:bd:88:77:08:32 -86
13 04:bd:88:77:07:62 -86
14 98:e7:f4:45:9b:4a -87
15 22:f5:43:71:f4:a6 -89

