room 2 2020-11-22 22:24:11.717
                BSSID  RSSI
0 04:bd:88:76:f9:e0 -54
1 04:bd:88:76:f9:e1 -54
2 98:e7:f4:45:9b:4a -54
3 04:bd:88:76:f9:f0 -57
4 04:bd:88:76:f9:f1 -57
5 04:bd:88:76:f9:f2 -57
6 04:bd:88:76:f9:e2 -58
7 04:bd:88:76:f4:22 -72
8 04:bd:88:76:f5:82 -73
9 04:bd:88:76:f5:81 -75
10 04:bd:88:76:f5:80 -78
11 04:bd:88:76:f7:20 -79
12 04:bd:88:76:f7:21 -79
13 18:64:72:29:09:c2 -80
14 18:64:72:29:09:c0 -80
15 18:64:72:29:09:c1 -80
16 04:bd:88:76:f4:c2 -85
17 04:bd:88:76:f6:82 -87
18 04:bd:88:76:f5:92 -88
19 04:bd:88:76:f5:91 -90

room 2 2020-11-22 22:24:41.660
                BSSID  RSSI
0 04:bd:88:76:f9:e0 -53
1 04:bd:88:76:f9:e1 -53
2 04:bd:88:76:f9:e2 -56
3 04:bd:88:76:f9:f0 -58
4 04:bd:88:76:f9:f1 -58
5 04:bd:88:76:f9:f2 -58
6 04:bd:88:76:f7:21 -70
7 04:bd:88:76:f4:21 -73
8 04:bd:88:76:f4:20 -74
9 04:bd:88:76:f4:22 -75
10 04:bd:88:76:f5:82 -76
11 04:bd:88:76:f7:22 -77
12 04:bd:88:76:f7:20 -79
13 18:64:72:29:09:c2 -81
14 98:e7:f4:45:9b:4a -82
15 04:bd:88:76:f4:c2 -83
16 04:bd:88:76:f4:30 -88
17 62:45:b6:ce:ac:21 -90

room 2 2020-11-22 22:25:11.901
                BSSID  RSSI
0 04:bd:88:76:f9:e0 -48
1 04:bd:88:76:f9:e1 -48
2 04:bd:88:76:f9:e2 -48
3 04:bd:88:76:f9:f0 -58
4 04:bd:88:76:f9:f1 -58
5 04:bd:88:76:f9:f2 -58
6 04:bd:88:76:f4:22 -73
7 04:bd:88:76:f4:20 -73
8 04:bd:88:76:f4:21 -74
9 04:bd:88:76:f5:82 -75
10 04:bd:88:76:f7:22 -78
11 04:bd:88:76:f5:81 -78
12 04:bd:88:76:f5:80 -78
13 04:bd:88:76:f7:20 -79
14 04:bd:88:76:f7:21 -79
15 18:64:72:29:09:c2 -81
16 98:e7:f4:45:9b:4a -82
17 18:64:72:29:09:c0 -82
18 04:bd:88:76:f6:82 -87
19 18:64:72:29:09:d1 -87
20 18:64:72:29:09:d2 -88
21 18:64:72:29:09:d0 -88

room 2 2020-11-22 22:25:41.866
                BSSID  RSSI
0 04:bd:88:76:f9:e0 -50
1 04:bd:88:76:f9:e1 -50
2 04:bd:88:76:f9:e2 -50
3 04:bd:88:76:f9:f0 -55
4 04:bd:88:76:f9:f1 -55
5 04:bd:88:76:f9:f2 -56
6 04:bd:88:76:f4:22 -73
7 04:bd:88:76:f4:20 -73
8 04:bd:88:76:f5:82 -74
9 18:64:72:29:09:c2 -74
10 04:bd:88:76:f4:21 -74
11 04:bd:88:76:f5:81 -77
12 04:bd:88:77:08:22 -77
13 04:bd:88:76:f5:80 -78
14 04:bd:88:76:f7:20 -79
15 04:bd:88:76:f7:22 -79
16 04:bd:88:76:f7:21 -80
17 98:e7:f4:45:9b:4a -81
18 60:38:e0:bd:e6:29 -89

room 2 2020-11-22 22:26:12.062
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -45
1 04:bd:88:76:f9:e0 -47
2 04:bd:88:76:f9:e1 -47
3 04:bd:88:76:f9:f0 -58
4 04:bd:88:76:f9:f1 -58
5 04:bd:88:76:f9:f2 -58
6 04:bd:88:76:f5:82 -72
7 04:bd:88:76:f4:21 -74
8 04:bd:88:76:f4:20 -75
9 04:bd:88:76:f5:81 -77
10 04:bd:88:76:f7:22 -78
11 04:bd:88:76:f5:80 -78
12 04:bd:88:76:f4:22 -79
13 04:bd:88:76:f7:21 -80
14 18:64:72:29:09:c2 -81
15 98:e7:f4:45:9b:4a -81
16 18:64:72:29:09:c0 -81
17 18:64:72:29:09:c1 -81
18 18:64:72:29:09:d2 -87
19 18:64:72:29:09:d1 -88
20 18:64:72:29:09:d0 -89

room 2 2020-11-22 22:26:42.086
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -48
1 04:bd:88:76:f9:e0 -49
2 04:bd:88:76:f9:e1 -49
3 04:bd:88:76:f9:f0 -59
4 04:bd:88:76:f9:f1 -59
5 04:bd:88:76:f9:f2 -59
6 04:bd:88:76:f5:82 -74
7 04:bd:88:76:f4:22 -75
8 04:bd:88:76:f4:20 -75
9 04:bd:88:76:f4:21 -75
10 04:bd:88:76:f5:81 -78
11 04:bd:88:76:f7:21 -80
12 04:bd:88:76:f7:20 -80
13 18:64:72:29:09:d0 -87
14 18:64:72:29:09:d1 -88
15 04:bd:88:76:f6:82 -88
16 84:d4:7e:4a:68:02 -88
17 18:64:72:29:09:d2 -89

room 2 2020-11-22 22:27:12.246
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -48
1 04:bd:88:76:f9:e0 -49
2 04:bd:88:76:f9:e1 -49
3 04:bd:88:76:f9:f0 -56
4 04:bd:88:76:f9:f1 -56
5 04:bd:88:76:f9:f2 -56
6 04:bd:88:76:f4:20 -73
7 04:bd:88:76:f4:21 -73
8 04:bd:88:76:f4:22 -74
9 04:bd:88:76:f5:82 -75
10 04:bd:88:76:f5:81 -77
11 04:bd:88:76:f7:21 -78
12 04:bd:88:76:f7:20 -79
13 04:bd:88:76:f7:22 -79
14 18:64:72:29:09:c1 -81
15 04:bd:88:76:f4:c2 -84
16 98:e7:f4:45:9b:4a -86
17 18:64:72:29:09:d1 -87
18 18:64:72:29:09:d2 -87
19 18:64:72:29:09:d0 -88
20 62:45:b6:ce:ac:21 -89

room 2 2020-11-22 22:27:42.306
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -51
1 04:bd:88:76:f9:e0 -52
2 04:bd:88:76:f9:e1 -52
3 04:bd:88:76:f4:c2 -57
4 04:bd:88:76:f9:f0 -58
5 04:bd:88:76:f9:f1 -58
6 04:bd:88:76:f9:f2 -58
7 04:bd:88:76:f4:21 -73
8 04:bd:88:76:f5:82 -74
9 04:bd:88:76:f4:20 -74
10 04:bd:88:76:f4:22 -75
11 04:bd:88:76:f5:81 -77
12 04:bd:88:76:f5:80 -77
13 18:64:72:29:09:c2 -79
14 04:bd:88:76:f7:21 -80
15 04:bd:88:76:f7:20 -80
16 04:bd:88:76:f6:82 -81
17 04:bd:88:76:f4:30 -86
18 98:e7:f4:45:9b:4a -87
19 04:bd:88:76:f4:31 -87
20 62:45:b6:ce:ac:21 -88
21 04:bd:88:76:f4:32 -88
22 70:8b:cd:5e:4f:f0 -88

room 2 2020-11-22 22:28:12.405
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -47
1 04:bd:88:76:f9:e0 -49
2 04:bd:88:76:f9:e1 -49
3 04:bd:88:76:f9:f0 -57
4 04:bd:88:76:f9:f1 -57
5 04:bd:88:76:f9:f2 -57
