room 1 2020-11-22 15:15:38.693
                BSSID  RSSI
16 04:bd:88:76:f6:82 -86
17 18:64:72:29:09:c2 -87
18 70:8b:cd:5e:4f:f0 -87
19 04:bd:88:77:08:22 -89

room 1 2020-11-22 15:19:39.247
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -54
1 04:bd:88:76:f9:f0 -54
2 04:bd:88:76:f9:f2 -54
3 04:bd:88:76:f9:e0 -54
4 04:bd:88:76:f9:e1 -54
5 04:bd:88:76:f9:e2 -56
6 62:45:b7:78:a1:82 -66
7 04:bd:88:76:f5:81 -79
8 04:bd:88:76:f4:21 -79
9 04:bd:88:76:f5:80 -80
10 04:bd:88:76:f5:82 -80
11 04:bd:88:76:f4:22 -80
12 04:bd:88:76:f7:20 -84
13 04:bd:88:76:f7:21 -85
14 18:64:72:29:09:c2 -86
15 12:d0:7a:c5:05:b5 -86
16 04:bd:88:76:f4:c0 -86
17 04:bd:88:76:f6:82 -86
18 84:d4:7e:4a:68:02 -88
19 70:8b:cd:5e:4f:f0 -89
20 04:bd:88:76:f4:c1 -89
21 04:bd:88:76:f4:c2 -89
22 84:d4:7e:4a:4b:e2 -90

room 1 2020-11-22 15:20:09.465
                BSSID  RSSI
0 04:bd:88:76:f9:e0 -53
1 04:bd:88:76:f9:e1 -53
2 04:bd:88:76:f9:f1 -54
3 04:bd:88:76:f9:f0 -54
4 04:bd:88:76:f9:f2 -54
5 04:bd:88:76:f9:e2 -56
6 62:45:b7:78:a1:82 -66
7 70:8b:cd:5e:4f:f0 -72
8 04:bd:88:76:f4:22 -75
9 04:bd:88:76:f5:82 -79
10 04:bd:88:76:f4:20 -79
11 04:bd:88:76:f5:80 -80
12 04:bd:88:76:f7:21 -84
13 04:bd:88:76:f7:20 -85
14 18:64:72:29:09:c1 -85
15 18:64:72:29:09:c0 -86
16 18:64:72:29:09:c2 -87
17 04:bd:88:76:f4:c1 -87
18 04:bd:88:77:07:20 -89
19 84:d4:7e:4a:4b:e2 -91

room 1 2020-11-22 15:20:39.425
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -55
1 04:bd:88:76:f9:f0 -55
2 04:bd:88:76:f9:f2 -55
3 04:bd:88:76:f9:e0 -57
4 04:bd:88:76:f9:e1 -57
5 04:bd:88:76:f9:e2 -58
6 62:45:b7:78:a1:82 -66
7 04:bd:88:76:f5:82 -79
8 04:bd:88:76:f4:20 -79
9 04:bd:88:76:f4:21 -79
10 04:bd:88:76:f5:80 -81
11 04:bd:88:76:f5:81 -81
12 18:64:72:29:09:c2 -85
13 18:64:72:29:09:c1 -85
14 84:d4:7e:4a:4b:e2 -86
15 22:f5:43:71:f4:a6 -86
16 70:8b:cd:5e:4f:f0 -88
17 84:d4:7e:4a:92:82 -89

room 1 2020-11-22 15:21:09.519
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -55
1 04:bd:88:76:f9:f0 -55
2 04:bd:88:76:f9:f2 -55
3 04:bd:88:76:f9:e0 -57
4 04:bd:88:76:f9:e2 -58
5 04:bd:88:76:f9:e1 -58
6 04:bd:88:76:f4:20 -77
7 04:bd:88:76:f5:82 -79
8 04:bd:88:76:f4:21 -80
9 04:bd:88:76:f5:80 -81
10 04:bd:88:76:f5:81 -81
11 04:bd:88:76:f6:80 -83
12 04:bd:88:76:f7:20 -85
13 04:bd:88:76:f6:82 -85
14 98:e7:f4:45:9b:4a -87
15 84:d4:7e:4a:d1:e2 -89

room 1 2020-11-22 15:21:39.703
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -55
1 04:bd:88:76:f9:f0 -55
2 04:bd:88:76:f9:f2 -55
3 04:bd:88:76:f9:e2 -58
4 04:bd:88:76:f9:e0 -58
5 04:bd:88:76:f9:e1 -58
6 62:45:b7:78:a1:82 -66
7 04:bd:88:76:f4:22 -77
8 62:45:b6:ce:ac:21 -78
9 04:bd:88:76:f4:21 -80
10 04:bd:88:76:f7:21 -85
11 22:f5:43:71:f4:a6 -86
12 18:64:72:29:09:c0 -86
13 84:d4:7e:4a:d1:e2 -87
14 84:d4:7e:4a:d4:a0 -87
15 18:64:72:29:09:c2 -87
16 70:8b:cd:5e:4f:f0 -88

room 1 2020-11-22 15:22:09.790
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -55
