room 2 2020-11-22 03:20:32.316
                BSSID  RSSI
0 04:bd:88:76:f9:e0 -52
1 04:bd:88:76:f9:e1 -52
2 04:bd:88:76:f9:e2 -53
3 04:bd:88:76:f9:f1 -58
4 04:bd:88:76:f9:f0 -58
5 04:bd:88:76:f9:f2 -58
6 04:bd:88:76:f5:82 -72
7 04:bd:88:76:f5:81 -75
8 04:bd:88:76:f5:80 -75
9 62:45:b7:78:a1:82 -77
10 04:bd:88:76:f4:22 -81
11 04:bd:88:76:f4:21 -82
12 04:bd:88:76:f4:20 -83
13 18:64:72:29:09:d0 -85
14 12:d0:7a:c5:05:b5 -85
15 04:bd:88:76:f4:31 -85
16 04:bd:88:76:f4:c0 -85
17 18:64:72:29:09:d1 -85
18 18:64:72:29:09:d2 -85
19 04:bd:88:76:f4:32 -86
20 04:bd:88:76:f7:21 -86
21 18:64:72:29:09:c2 -87
22 18:64:72:29:09:c0 -87
23 04:bd:88:76:f4:30 -87
24 18:64:72:29:09:c1 -87
25 04:bd:88:76:f4:c1 -87
26 04:bd:88:76:f7:20 -87
27 04:bd:88:76:f6:80 -87
28 04:bd:88:76:f6:81 -87
29 04:bd:88:76:f4:c2 -88
30 04:bd:88:76:f6:82 -89
31 84:d4:7e:4a:92:82 -90
32 d8:eb:97:ed:c8:36 -90
33 84:d4:7e:4a:68:02 -90

room 2 2020-11-22 03:21:02.347
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -48
1 04:bd:88:76:f9:f0 -48
2 04:bd:88:76:f9:f2 -48
3 04:bd:88:76:f9:e2 -49
4 04:bd:88:76:f9:e0 -49
5 04:bd:88:76:f9:e1 -49
6 04:bd:88:76:f4:22 -77
7 04:bd:88:76:f5:81 -78
8 04:bd:88:76:f4:21 -78
9 04:bd:88:76:f5:80 -78
10 04:bd:88:76:f5:82 -81
11 18:64:72:29:09:c2 -82
12 18:64:72:29:09:c0 -82
13 18:64:72:29:09:c1 -82
14 04:bd:88:76:f4:c1 -84
15 04:bd:88:76:f6:80 -85
16 04:bd:88:76:f4:c0 -86
17 04:bd:88:76:f6:81 -86
18 04:bd:88:76:f4:30 -87
19 04:bd:88:76:f7:22 -87
20 04:bd:88:76:f4:32 -88
21 04:bd:88:76:f6:82 -88
22 98:e7:f4:45:9b:4a -88
23 18:64:72:29:09:d0 -89
24 04:bd:88:76:f4:31 -89
25 04:bd:88:76:f4:c2 -89
26 18:64:72:29:09:d1 -89
27 62:45:b6:ce:ac:21 -89
28 18:64:72:29:09:d2 -90
29 70:8b:cd:5e:4f:f0 -90

room 2 2020-11-22 03:21:32.382
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -50
1 04:bd:88:76:f9:f1 -51
2 04:bd:88:76:f9:f0 -51
3 04:bd:88:76:f9:f2 -51
4 04:bd:88:76:f9:e0 -52
5 04:bd:88:76:f9:e1 -52
6 04:bd:88:76:f4:22 -75
7 04:bd:88:76:f5:82 -77
8 04:bd:88:76:f5:81 -77
9 04:bd:88:76:f4:21 -77
10 04:bd:88:76:f5:80 -77
11 04:bd:88:76:f4:20 -77
12 04:bd:88:76:f6:82 -82
13 18:64:72:29:09:c0 -84
14 04:bd:88:76:f6:80 -84
15 04:bd:88:76:f4:c1 -85
16 04:bd:88:76:f7:22 -86
17 04:bd:88:76:f7:20 -86
18 04:bd:88:76:f7:21 -86
19 04:bd:88:76:f4:c0 -87
20 04:bd:88:76:f6:e2 -88
21 62:45:b6:ce:ac:21 -89
22 04:bd:88:76:f4:c2 -90
23 84:d4:7e:4a:d5:42 -90

room 2 2020-11-22 03:22:02.438
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -49
1 04:bd:88:76:f9:f1 -51
2 04:bd:88:76:f9:f0 -51
3 04:bd:88:76:f9:f2 -51
4 04:bd:88:76:f9:e0 -52
5 04:bd:88:76:f9:e1 -52
6 04:bd:88:76:f4:22 -75
7 04:bd:88:76:f5:82 -77
8 04:bd:88:76:f5:81 -77
9 04:bd:88:76:f5:80 -77
10 18:64:72:29:09:c0 -82
11 18:64:72:29:09:c2 -83
12 18:64:72:29:09:c1 -83
13 04:bd:88:76:f7:20 -84
14 62:45:b7:78:a1:82 -84
15 04:bd:88:76:f4:c1 -85
16 04:bd:88:76:f6:80 -85
17 04:bd:88:76:f7:22 -85
18 04:bd:88:76:f7:21 -85
19 04:bd:88:76:f6:81 -86
20 84:d4:7e:4a:4a:e2 -89

room 2 2020-11-22 03:22:32.475
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -51
1 04:bd:88:76:f9:e2 -51
2 04:bd:88:76:f9:f0 -51
3 04:bd:88:76:f9:f2 -51
4 04:bd:88:76:f9:e1 -52
5 04:bd:88:76:f9:e0 -53
6 04:bd:88:76:f4:22 -73
7 04:bd:88:76:f5:82 -77
8 04:bd:88:76:f5:81 -77
9 04:bd:88:76:f5:80 -77
10 04:bd:88:76:f4:20 -77
11 04:bd:88:76:f4:21 -77
12 18:64:72:29:09:c1 -81
13 18:64:72:29:09:c0 -82
14 18:64:72:29:09:c2 -82
15 12:d0:7a:c5:05:b5 -83
16 04:bd:88:76:f6:80 -84
17 04:bd:88:76:f6:81 -84
18 04:bd:88:76:f7:21 -85
19 04:bd:88:76:f4:c1 -86
20 04:bd:88:76:f4:c0 -86
21 04:bd:88:76:f4:32 -87
22 18:64:72:29:09:d1 -87
23 04:bd:88:76:f6:82 -87
24 04:bd:88:76:f4:31 -88
25 04:bd:88:76:f4:30 -89
26 04:bd:88:76:f4:c2 -89
27 18:64:72:29:09:d0 -90
28 18:64:72:29:09:d2 -90
29 04:bd:88:77:07:22 -91

room 2 2020-11-22 03:23:02.481
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -50
1 04:bd:88:76:f9:f1 -51
2 04:bd:88:76:f9:f0 -51
3 04:bd:88:76:f9:f2 -51
4 04:bd:88:76:f9:e0 -52
5 04:bd:88:76:f9:e1 -52
6 04:bd:88:76:f4:22 -75
7 04:bd:88:76:f4:20 -77
8 04:bd:88:76:f4:21 -77
9 18:64:72:29:09:c2 -79
10 62:45:b7:78:a1:82 -80
11 04:bd:88:76:f5:82 -82
12 04:bd:88:76:f5:80 -82
13 04:bd:88:76:f5:81 -83
14 04:bd:88:76:f7:21 -86
15 04:bd:88:76:f4:c0 -86
16 04:bd:88:76:f7:20 -86
17 70:8b:cd:5e:4f:f0 -87
18 04:bd:88:77:08:22 -88
19 d8:eb:97:ed:c8:36 -91

room 2 2020-11-22 03:23:32.576
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -50
1 04:bd:88:76:f9:f1 -51
2 04:bd:88:76:f9:f0 -51
3 04:bd:88:76:f9:f2 -51
4 04:bd:88:76:f9:e0 -52
5 04:bd:88:76:f9:e1 -52
6 04:bd:88:76:f4:22 -75
7 04:bd:88:76:f5:81 -77
8 04:bd:88:76:f4:20 -77
9 04:bd:88:76:f4:21 -77
10 04:bd:88:76:f5:82 -78
11 04:bd:88:76:f5:80 -78
12 62:45:b7:78:a1:82 -81
13 18:64:72:29:09:c2 -82
14 18:64:72:29:09:c0 -82
15 18:64:72:29:09:c1 -82
16 04:bd:88:76:f6:81 -84
17 04:bd:88:76:f7:21 -85
18 04:bd:88:76:f7:20 -85
19 04:bd:88:76:f4:c1 -86
20 04:bd:88:76:f6:80 -86
21 04:bd:88:76:f4:32 -87
22 84:d4:7e:4a:4a:e0 -87
23 04:bd:88:76:f5:90 -88
24 04:bd:88:76:f4:30 -88
25 04:bd:88:76:f4:31 -88
26 18:64:72:29:09:d2 -88
27 4a:f1:7f:a7:32:0d -88
28 04:bd:88:76:f6:82 -88
29 12:d0:7a:c5:05:b5 -89
30 18:64:72:29:09:d0 -89
31 18:64:72:29:09:d1 -89
32 84:d4:7e:4a:4a:e2 -89

room 2 2020-11-22 03:24:02.545
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -50
1 04:bd:88:76:f9:f1 -51
2 04:bd:88:76:f9:f0 -51
3 04:bd:88:76:f9:f2 -51
4 04:bd:88:76:f9:e0 -52
5 04:bd:88:76:f9:e1 -52
6 04:bd:88:76:f4:22 -74
7 04:bd:88:76:f5:80 -77
8 04:bd:88:76:f4:20 -77
9 04:bd:88:76:f4:21 -77
10 04:bd:88:76:f5:82 -78
11 04:bd:88:76:f5:81 -78
12 62:45:b7:78:a1:82 -81
13 18:64:72:29:09:c1 -83
14 18:64:72:29:09:c2 -84
15 18:64:72:29:09:c0 -84
16 04:bd:88:76:f7:21 -85
17 04:bd:88:76:f4:c1 -85
18 04:bd:88:76:f7:22 -85
19 04:bd:88:76:f7:20 -86
20 12:d0:7a:c5:05:b5 -87
21 04:bd:88:76:f5:91 -88
22 04:bd:88:77:08:22 -88

room 2 2020-11-22 03:24:32.599
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -50
1 04:bd:88:76:f9:f2 -50
2 04:bd:88:76:f9:f1 -51
3 04:bd:88:76:f9:f0 -51
4 04:bd:88:76:f9:e0 -52
5 04:bd:88:76:f9:e1 -52
6 04:bd:88:76:f4:22 -75
7 04:bd:88:76:f5:82 -77
8 04:bd:88:76:f4:20 -77
9 04:bd:88:76:f4:21 -77
10 04:bd:88:76:f5:81 -78
11 04:bd:88:76:f5:80 -78
12 18:64:72:29:09:c2 -82
13 18:64:72:29:09:c1 -83
14 04:bd:88:76:f6:82 -83
15 18:64:72:29:09:c0 -84
16 04:bd:88:76:f7:21 -86
17 04:bd:88:76:f7:20 -86
18 04:bd:88:76:f4:c1 -86
19 04:bd:88:76:f4:c0 -86
20 04:bd:88:76:f6:80 -86
21 84:d4:7e:4a:4a:e0 -87
22 04:bd:88:76:f4:30 -88
23 04:bd:88:76:f4:31 -88
24 04:bd:88:76:f4:32 -88
25 18:64:72:29:09:d0 -88
26 18:64:72:29:09:d1 -88
27 18:64:72:29:09:d2 -88
28 12:d0:7a:c5:05:b5 -89
29 04:bd:88:77:08:22 -89
30 04:bd:88:76:f4:c2 -89
31 d8:eb:97:ed:c8:36 -89
32 4a:f1:7f:a7:32:0d -90
33 84:d4:7e:4a:d1:e2 -91
34 04:bd:88:77:07:22 -92

room 2 2020-11-22 03:25:02.630
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -50
1 04:bd:88:76:f9:f1 -51
2 04:bd:88:76:f9:f0 -51
3 04:bd:88:76:f9:f2 -51
4 04:bd:88:76:f9:e0 -52
5 04:bd:88:76:f9:e1 -52
6 04:bd:88:76:f4:22 -74
7 04:bd:88:76:f4:21 -76
8 04:bd:88:76:f4:20 -77
9 18:64:72:29:09:c2 -80
10 04:bd:88:76:f5:82 -81
11 62:45:b7:78:a1:82 -81
12 04:bd:88:76:f7:20 -82
13 04:bd:88:76:f5:81 -83
14 04:bd:88:76:f5:80 -83
15 18:64:72:29:09:c0 -83
16 18:64:72:29:09:c1 -84
17 04:bd:88:76:f7:21 -85
18 04:bd:88:76:f4:c1 -85
19 04:bd:88:76:f7:22 -85
20 04:bd:88:76:f4:c0 -86
21 70:8b:cd:5e:4f:f0 -88
22 04:bd:88:77:08:22 -89
23 04:bd:88:76:f4:c2 -89
24 84:d4:7e:4a:d5:42 -92

room 2 2020-11-22 03:25:32.688
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -51
1 04:bd:88:76:f9:e2 -51
2 04:bd:88:76:f9:f0 -51
3 04:bd:88:76:f9:f2 -51
4 04:bd:88:76:f9:e0 -52
5 04:bd:88:76:f9:e1 -52
6 04:bd:88:76:f4:c2 -72
7 04:bd:88:76:f4:20 -74
8 04:bd:88:76:f4:22 -75
9 04:bd:88:76:f5:82 -77
10 04:bd:88:76:f4:21 -77
11 04:bd:88:76:f5:80 -79
12 18:64:72:29:09:c2 -82
13 18:64:72:29:09:c0 -82
14 18:64:72:29:09:d2 -82
15 18:64:72:29:09:c1 -83
16 04:bd:88:76:f4:c1 -85
17 04:bd:88:76:f4:c0 -85
18 04:bd:88:76:f6:80 -85
19 04:bd:88:76:f6:81 -85
20 04:bd:88:76:f4:30 -87
21 18:64:72:29:09:d0 -87
22 04:bd:88:76:f4:31 -88
23 04:bd:88:76:f4:32 -88
24 84:d4:7e:4a:4a:e1 -88
25 12:d0:7a:c5:05:b5 -90
26 04:bd:88:76:f6:82 -90

room 2 2020-11-22 03:26:02.739
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -50
1 04:bd:88:76:f9:f2 -50
2 04:bd:88:76:f9:f1 -51
3 04:bd:88:76:f9:f0 -51
4 04:bd:88:76:f9:e0 -52
5 04:bd:88:76:f9:e1 -52
6 04:bd:88:76:f4:22 -75
7 04:bd:88:76:f4:20 -77
8 04:bd:88:76:f4:21 -77
9 18:64:72:29:09:c2 -80
10 62:45:b7:78:a1:82 -81
11 04:bd:88:76:f5:82 -82
12 18:64:72:29:09:c0 -83
13 18:64:72:29:09:c1 -83
14 04:bd:88:76:f4:c1 -84
15 04:bd:88:76:f7:21 -84
16 04:bd:88:76:f5:80 -85
17 04:bd:88:76:f7:22 -85
18 04:bd:88:76:f7:20 -85
19 04:bd:88:77:08:22 -85
20 70:8b:cd:5e:4f:f0 -87
21 04:bd:88:76:f4:c2 -89
22 04:bd:88:77:07:22 -93

room 2 2020-11-22 03:26:32.755
                BSSID  RSSI
0 04:bd:88:76:f9:f2 -50
1 04:bd:88:76:f9:f1 -51
2 04:bd:88:76:f9:e2 -51
3 04:bd:88:76:f9:e0 -51
4 04:bd:88:76:f9:e1 -51
5 04:bd:88:76:f9:f0 -51
6 04:bd:88:76:f5:82 -65
7 04:bd:88:76:f4:22 -76
8 04:bd:88:76:f4:20 -76
9 04:bd:88:76:f4:21 -77
10 62:45:b7:78:a1:82 -80
11 04:bd:88:76:f5:81 -81
12 18:64:72:29:09:c2 -83
13 18:64:72:29:09:c0 -83
14 18:64:72:29:09:c1 -83
15 04:bd:88:76:f7:22 -85
16 04:bd:88:76:f6:80 -85
17 04:bd:88:76:f7:20 -86
18 98:e7:f4:45:9b:4a -86
19 04:bd:88:76:f6:81 -86
20 12:d0:7a:c5:05:b5 -88
21 04:bd:88:76:f4:30 -88
22 04:bd:88:76:f4:32 -88
23 04:bd:88:77:08:22 -89
24 04:bd:88:76:f4:31 -89
25 84:d4:7e:4a:d5:42 -91

room 2 2020-11-22 03:27:02.818
                BSSID  RSSI
0 04:bd:88:76:f9:f0 -49
1 04:bd:88:76:f9:f1 -51
2 04:bd:88:76:f9:e2 -51
3 04:bd:88:76:f9:f2 -51
4 04:bd:88:76:f9:e0 -52
5 04:bd:88:76:f9:e1 -52
6 04:bd:88:76:f5:82 -75
7 04:bd:88:76:f4:22 -75
8 04:bd:88:76:f4:20 -77
9 04:bd:88:76:f4:21 -77
10 04:bd:88:76:f5:80 -77
11 04:bd:88:76:f5:81 -79
12 18:64:72:29:09:c0 -82
13 18:64:72:29:09:c2 -83
14 18:64:72:29:09:c1 -83
15 04:bd:88:76:f7:22 -83
16 04:bd:88:76:f6:80 -84
17 04:bd:88:76:f6:81 -85
18 04:bd:88:76:f4:c1 -85
19 04:bd:88:76:f4:31 -86
20 04:bd:88:76:f4:c0 -86
21 12:d0:7a:c5:05:b5 -88
22 04:bd:88:76:f4:30 -88
23 70:8b:cd:5e:4f:f0 -88
24 04:bd:88:76:f4:32 -89
25 04:bd:88:77:07:22 -89
26 18:64:72:29:09:d0 -89
27 18:64:72:29:09:d1 -89
28 18:64:72:29:09:d2 -89
29 04:bd:88:76:f4:c2 -89
30 fa:8f:ca:61:cc:1e -89
31 84:d4:7e:4a:4a:e0 -89
32 84:d4:7e:4a:1c:42 -90
33 04:bd:88:76:f6:82 -90
34 84:d4:7e:49:82:e2 -92

room 2 2020-11-22 03:27:32.862
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -50
1 04:bd:88:76:f9:f1 -51
2 04:bd:88:76:f9:f0 -51
3 04:bd:88:76:f9:f2 -51
4 04:bd:88:76:f9:e0 -52
5 04:bd:88:76:f9:e1 -52
6 04:bd:88:76:f4:22 -75
7 04:bd:88:76:f5:82 -76
8 04:bd:88:76:f4:20 -77
9 04:bd:88:76:f5:81 -78
10 04:bd:88:76:f5:80 -79
11 62:45:b7:78:a1:82 -81
12 18:64:72:29:09:c2 -83
13 18:64:72:29:09:c0 -83
14 18:64:72:29:09:c1 -83
15 04:bd:88:76:f7:22 -85
16 04:bd:88:76:f4:c0 -85
17 04:bd:88:76:f4:c1 -85
18 04:bd:88:76:f7:20 -85
19 04:bd:88:76:f7:21 -85
20 04:bd:88:76:f6:81 -86
21 04:bd:88:76:f4:30 -88
22 04:bd:88:76:f4:31 -88
23 04:bd:88:76:f4:32 -89
24 04:bd:88:76:f6:e2 -91

room 2 2020-11-22 03:28:02.938
                BSSID  RSSI
0 04:bd:88:76:f9:f0 -49
1 04:bd:88:76:f9:f1 -50
2 04:bd:88:76:f9:e2 -50
3 04:bd:88:76:f9:f2 -50
4 04:bd:88:76:f9:e0 -52
5 04:bd:88:76:f9:e1 -52
6 04:bd:88:76:f4:22 -70
7 04:bd:88:76:f4:21 -76
