room 3 2020-11-30 21:20:09.310
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -58
1 04:bd:88:76:f9:e1 -61
2 04:bd:88:76:f9:e0 -62
3 62:45:b6:ce:ac:21 -66
4 04:bd:88:76:f9:f1 -68
5 04:bd:88:76:f9:f0 -68
6 04:bd:88:76:f9:f2 -68
7 04:bd:88:76:f5:82 -75
8 04:bd:88:77:07:20 -76
9 04:bd:88:77:07:21 -76
10 12:d0:7a:c5:05:b5 -77
11 04:bd:88:77:07:22 -78
12 04:bd:88:77:08:30 -85
13 04:bd:88:77:08:31 -85
14 04:bd:88:77:08:32 -85
15 04:bd:88:76:f5:81 -85
16 04:bd:88:76:f5:80 -86
17 84:d4:7e:4a:d1:e2 -87
18 86:2a:fd:60:d4:6f -87
19 84:d4:7e:4a:68:00 -87
20 a0:8c:fd:6d:ee:72 -88
21 70:3a:0e:45:93:02 -90

room 3 2020-11-30 21:20:38.529
                BSSID  RSSI
0 04:bd:88:76:f9:e0 -59
1 04:bd:88:76:f9:e1 -59
2 62:45:b6:ce:ac:21 -60
3 04:bd:88:76:f9:e2 -63
4 04:bd:88:76:f9:f1 -74
5 04:bd:88:76:f9:f2 -74
6 04:bd:88:76:f9:f0 -75
7 04:bd:88:76:f5:82 -75
8 04:bd:88:77:07:22 -82
9 04:bd:88:76:f4:22 -82
10 04:bd:88:77:08:22 -82
11 84:d4:7e:4a:4c:01 -84
12 84:d4:7e:4a:d1:e2 -87
13 da:13:99:be:66:e4 -89
14 76:40:bb:7c:af:33 -91

room 3 2020-11-30 23:30:03.414
                BSSID  RSSI
0 04:bd:88:76:f9:e1 -58
1 04:bd:88:76:f9:e0 -58
2 04:bd:88:76:f9:e2 -62
3 62:45:b6:ce:ac:21 -64
4 04:bd:88:76:f9:f0 -65
5 04:bd:88:76:f9:f1 -65
6 04:bd:88:76:f9:f2 -65
7 12:d0:7a:c5:05:b5 -71
8 62:45:b7:78:a1:82 -71
9 da:d5:a7:1c:36:b4 -75
10 04:bd:88:77:08:21 -80
11 04:bd:88:77:08:20 -82
12 04:bd:88:77:08:22 -84
13 04:bd:88:76:f6:e2 -86
14 84:d4:7e:4a:d1:e2 -87
15 04:bd:88:76:f5:82 -87
16 18:64:72:29:09:c2 -87
17 84:d4:7e:4a:4a:e2 -89

