room 3 2020-11-22 17:22:11.689
                BSSID  RSSI
12 84:d4:7e:4a:4a:e2 -85
13 04:bd:88:76:f5:82 -85
14 04:bd:88:77:08:22 -85
15 a0:8c:fd:6d:ee:72 -86
16 84:d4:7e:4a:68:02 -86
17 84:d4:7e:4a:4b:e2 -88

room 3 2020-11-22 17:26:12.031
                BSSID  RSSI
0 62:45:b7:78:a1:82 -47
1 04:bd:88:76:f9:e2 -53
2 04:bd:88:76:f9:e1 -56
3 04:bd:88:76:f9:e0 -56
4 12:d0:7a:c5:05:b5 -69
5 04:bd:88:76:f9:f1 -70
6 04:bd:88:76:f9:f0 -70
7 04:bd:88:76:f9:f2 -70
8 04:bd:88:76:f4:21 -77
9 04:bd:88:77:07:22 -79
10 04:bd:88:77:08:21 -80
11 04:bd:88:77:08:20 -80
12 04:bd:88:76:f4:22 -83
13 04:bd:88:77:08:22 -83
14 84:d4:7e:4a:4b:e2 -84
15 04:bd:88:76:f5:82 -85
16 a0:8c:fd:6d:ee:72 -85
17 70:3a:0e:45:93:02 -85
18 3c:84:6a:81:e0:4b -87
19 04:bd:88:76:f4:c2 -90
20 84:d4:7e:4a:ae:82 -91

room 3 2020-11-22 17:26:42.035
                BSSID  RSSI
0 62:45:b7:78:a1:82 -47
1 04:bd:88:76:f9:e2 -51
2 04:bd:88:76:f9:e1 -55
3 04:bd:88:76:f9:e0 -55
4 04:bd:88:76:f9:f1 -69
5 04:bd:88:76:f9:f0 -69
6 04:bd:88:76:f9:f2 -69
7 12:d0:7a:c5:05:b5 -70
8 04:bd:88:77:08:21 -80
9 04:bd:88:77:07:22 -80
10 04:bd:88:77:08:20 -80
11 04:bd:88:77:07:21 -80
12 04:bd:88:77:07:20 -82
13 04:bd:88:77:08:22 -84
14 04:bd:88:76:f5:82 -85
15 04:bd:88:76:f5:81 -85
16 04:bd:88:76:f4:c2 -88
17 84:d4:7e:4a:bf:02 -89

room 3 2020-11-22 17:27:12.032
                BSSID  RSSI
0 62:45:b7:78:a1:82 -47
1 04:bd:88:76:f9:e2 -52
2 04:bd:88:76:f9:e1 -56
3 04:bd:88:76:f9:e0 -56
4 12:d0:7a:c5:05:b5 -68
5 04:bd:88:76:f9:f1 -71
6 04:bd:88:76:f9:f0 -71
7 04:bd:88:76:f9:f2 -71
8 62:45:b6:ce:ac:21 -75
9 04:bd:88:77:07:20 -81
10 04:bd:88:77:07:21 -81
11 04:bd:88:76:f5:81 -83
12 04:bd:88:76:f5:80 -84
13 04:bd:88:76:f5:82 -85
14 84:d4:7e:4a:68:02 -87
15 70:8b:cd:5e:4f:f0 -89

room 3 2020-11-22 17:27:42.139
                BSSID  RSSI
0 62:45:b7:78:a1:82 -47
1 04:bd:88:76:f9:e2 -52
2 04:bd:88:76:f9:e1 -55
3 04:bd:88:76:f9:e0 -55
4 04:bd:88:76:f9:f1 -70
5 04:bd:88:76:f9:f0 -70
6 04:bd:88:76:f9:f2 -70
7 12:d0:7a:c5:05:b5 -72
8 04:bd:88:77:08:20 -78
9 04:bd:88:77:08:21 -79
10 04:bd:88:77:08:22 -80
11 84:d4:7e:4a:4a:e0 -81
12 84:d4:7e:4a:68:02 -82
13 04:bd:88:76:f4:22 -83
14 84:d4:7e:4a:4b:e2 -87
15 84:d4:7e:4a:92:82 -88

room 3 2020-11-22 17:28:12.150
                BSSID  RSSI
0 62:45:b7:78:a1:82 -47
1 04:bd:88:76:f9:e2 -53
2 04:bd:88:76:f9:e1 -56
3 04:bd:88:76:f9:e0 -56
4 04:bd:88:76:f9:f1 -69
5 04:bd:88:76:f9:f0 -69
6 04:bd:88:76:f9:f2 -69
7 12:d0:7a:c5:05:b5 -70
8 04:bd:88:77:08:20 -78
9 04:bd:88:77:08:21 -79
10 04:bd:88:77:08:22 -79
11 04:bd:88:77:07:22 -80
12 04:bd:88:77:07:21 -81
13 04:bd:88:77:07:20 -83
14 84:d4:7e:4a:68:02 -86
15 86:2a:fd:60:d4:6f -86
16 70:3a:0e:45:93:02 -87
17 84:d4:7e:49:82:e2 -88
18 84:d4:7e:4a:4c:02 -89

room 3 2020-11-22 17:28:42.312
                BSSID  RSSI
0 62:45:b7:78:a1:82 -47
1 04:bd:88:76:f9:e2 -53
2 04:bd:88:76:f9:e1 -56
3 04:bd:88:76:f9:e0 -56
4 04:bd:88:76:f9:f1 -71
5 04:bd:88:76:f9:f0 -71
6 04:bd:88:76:f9:f2 -71
7 22:f5:43:71:f4:a6 -77
8 04:bd:88:77:07:22 -78
9 04:bd:88:77:08:20 -80
10 04:bd:88:77:08:21 -81
11 04:bd:88:77:08:22 -84
12 86:2a:fd:60:d4:6f -84
13 04:bd:88:76:f4:22 -84
14 04:bd:88:76:f4:20 -86
15 70:3a:0e:45:93:02 -87
16 3c:84:6a:81:e0:4b -88
17 04:bd:88:76:f4:c2 -89
18 84:d4:7e:4a:92:82 -89
19 a0:04:60:6c:92:94 -90

room 3 2020-11-22 17:29:12.457
                BSSID  RSSI
0 62:45:b7:78:a1:82 -47
1 04:bd:88:76:f9:e2 -53
2 04:bd:88:76:f9:e1 -56
3 04:bd:88:76:f9:e0 -56
4 04:bd:88:76:f9:f1 -70
5 04:bd:88:76:f9:f0 -70
6 04:bd:88:76:f9:f2 -70
7 12:d0:7a:c5:05:b5 -71
8 04:bd:88:77:08:20 -79
9 04:bd:88:77:08:21 -79
10 84:d4:7e:4a:4a:e0 -79
11 84:d4:7e:4a:4a:e1 -79
12 04:bd:88:77:07:22 -80
13 04:bd:88:77:08:22 -82
14 04:bd:88:77:07:21 -82
15 84:d4:7e:49:82:e2 -82
16 04:bd:88:76:f4:22 -83
17 84:d4:7e:4a:68:02 -84
18 84:d4:7e:4a:4b:e2 -86
19 04:bd:88:76:f4:c2 -87
20 84:d4:7e:4a:92:82 -88
21 84:d4:7e:4a:4a:e2 -88
22 3c:84:6a:81:e0:4b -89
23 84:d4:7e:4a:6d:a2 -89
24 84:d4:7e:4a:1c:42 -89

room 3 2020-11-22 17:29:42.501
                BSSID  RSSI
0 62:45:b7:78:a1:82 -48
1 04:bd:88:76:f9:e2 -53
2 04:bd:88:76:f9:e1 -56
3 04:bd:88:76:f9:e0 -56
4 04:bd:88:76:f9:f1 -70
5 04:bd:88:76:f9:f0 -70
6 04:bd:88:76:f9:f2 -70
7 22:f5:43:71:f4:a6 -77
8 04:bd:88:77:07:22 -80
9 04:bd:88:76:f4:22 -82
10 04:bd:88:77:07:20 -82
11 04:bd:88:76:f4:20 -83
12 04:bd:88:76:f4:21 -83
13 84:d4:7e:4a:4b:e1 -84
14 84:d4:7e:4a:4b:e2 -86
15 84:d4:7e:49:82:e2 -86
16 70:3a:0e:45:93:02 -87

room 3 2020-11-22 17:30:12.616
                BSSID  RSSI
0 62:45:b7:78:a1:82 -47
1 04:bd:88:76:f9:e2 -53
2 04:bd:88:76:f9:e1 -56
3 04:bd:88:76:f9:e0 -56
4 04:bd:88:76:f9:f1 -70
5 04:bd:88:76:f9:f0 -70
6 04:bd:88:76:f9:f2 -70
7 12:d0:7a:c5:05:b5 -74
8 04:bd:88:76:f5:82 -74
9 22:f5:43:71:f4:a6 -77
10 04:bd:88:77:08:21 -78
11 84:d4:7e:4a:4a:e0 -79
12 84:d4:7e:4a:4a:e1 -79
13 04:bd:88:77:08:20 -79
14 04:bd:88:77:08:22 -80
15 04:bd:88:76:f4:22 -81
16 04:bd:88:76:f4:21 -85
17 84:d4:7e:4a:68:02 -85
18 84:d4:7e:4a:4a:e2 -85
19 84:d4:7e:4a:4b:e2 -86
20 70:3a:0e:45:93:02 -88
21 84:d4:7e:49:82:e2 -89
22 3c:84:6a:81:e0:4b -89

room 3 2020-11-22 17:30:42.752
                BSSID  RSSI
0 62:45:b7:78:a1:82 -47
1 04:bd:88:76:f9:e2 -54
2 04:bd:88:76:f9:e1 -55
3 04:bd:88:76:f9:e0 -55
4 04:bd:88:76:f9:f1 -69
5 04:bd:88:76:f9:f0 -69
6 04:bd:88:76:f9:f2 -69
7 12:d0:7a:c5:05:b5 -74
8 22:f5:43:71:f4:a6 -76
9 04:bd:88:77:07:20 -80
10 04:bd:88:77:07:22 -82
11 04:bd:88:76:f4:22 -85
12 84:d4:7e:4a:6d:a2 -88
13 04:bd:88:76:f4:30 -88
14 04:bd:88:76:f4:32 -88
15 04:bd:88:77:08:30 -88
16 04:bd:88:77:f2:a2 -90

room 3 2020-11-22 17:31:12.808
                BSSID  RSSI
0 62:45:b7:78:a1:82 -47
1 04:bd:88:76:f9:e2 -53
2 04:bd:88:76:f9:e1 -56
3 04:bd:88:76:f9:e0 -56
4 04:bd:88:76:f9:f1 -68
5 04:bd:88:76:f9:f0 -68
6 04:bd:88:76:f9:f2 -68
7 12:d0:7a:c5:05:b5 -69
8 04:bd:88:77:08:20 -78
9 04:bd:88:77:07:22 -79
10 84:d4:7e:4a:4a:e1 -79
11 04:bd:88:77:08:21 -79
12 04:bd:88:77:08:22 -79
13 04:bd:88:77:07:21 -82
14 04:bd:88:76:f5:82 -83
15 84:d4:7e:4a:92:82 -86
16 84:d4:7e:4a:4b:e2 -86
17 84:d4:7e:4a:68:02 -86
18 84:d4:7e:4a:4a:e2 -87
19 04:bd:88:76:f4:22 -90

room 3 2020-11-22 17:31:42.767
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -54
1 04:bd:88:76:f9:e1 -56
2 04:bd:88:76:f9:f1 -69
3 04:bd:88:76:f9:f0 -69
4 04:bd:88:76:f9:f2 -69
5 12:d0:7a:c5:05:b5 -69
6 62:45:b6:ce:ac:21 -74
7 04:bd:88:77:08:21 -77
8 04:bd:88:77:08:20 -78
9 04:bd:88:77:07:22 -79
10 04:bd:88:77:08:22 -80
11 84:d4:7e:4a:4a:e0 -80
12 84:d4:7e:4a:4a:e1 -81
13 84:d4:7e:4a:4a:e2 -85
14 04:bd:88:76:f4:20 -85
15 84:d4:7e:4a:68:02 -86
16 84:d4:7e:4a:4b:e2 -87
17 84:d4:7e:4a:92:82 -88
18 70:3a:0e:45:93:02 -88

room 3 2020-11-22 17:32:12.888
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -53
1 04:bd:88:76:f9:e1 -56
2 04:bd:88:76:f9:e0 -56
3 04:bd:88:76:f9:f1 -69
4 04:bd:88:76:f9:f0 -69
5 04:bd:88:76:f9:f2 -69
6 62:45:b6:ce:ac:21 -74
7 04:bd:88:77:08:20 -77
8 04:bd:88:77:08:21 -77
9 04:bd:88:77:08:22 -78
10 04:bd:88:77:07:22 -79
11 84:d4:7e:4a:4a:e1 -79
12 84:d4:7e:4a:4a:e0 -79
