room 2 2020-11-30 18:11:34.208
                BSSID  RSSI
0 04:bd:88:76:f9:f0 -52
1 04:bd:88:76:f9:f1 -52
2 04:bd:88:76:f9:f2 -52
3 04:bd:88:76:f9:e1 -54
4 04:bd:88:76:f9:e0 -55
5 04:bd:88:76:f9:e2 -59
6 04:bd:88:76:f5:81 -78
7 04:bd:88:76:f5:82 -78
8 04:bd:88:76:f5:80 -79
9 18:64:72:29:09:c2 -80
10 18:64:72:29:09:c1 -81
11 04:bd:88:76:f4:22 -82
12 04:bd:88:76:f4:20 -84
13 98:e7:f4:45:9b:4a -85
14 04:bd:88:76:f4:21 -85
15 fe:f5:c4:82:95:d6 -86
16 04:bd:88:77:08:22 -86
17 04:bd:88:76:f4:c2 -87
18 04:bd:88:76:f7:20 -87
19 04:bd:88:76:f7:21 -87
20 04:bd:88:76:f4:c1 -87
21 d8:eb:97:ed:c8:36 -87
22 18:64:72:29:09:d0 -87
23 18:64:72:29:09:d2 -87
24 18:64:72:29:09:d1 -88
25 04:bd:88:76:f4:c0 -89
26 16:ae:db:f9:8e:5a -90
27 60:38:e0:bd:e6:29 -90

room 2 2020-11-30 18:12:04.212
                BSSID  RSSI
0 04:bd:88:76:f9:f0 -53
1 04:bd:88:76:f9:f1 -53
2 04:bd:88:76:f9:f2 -53
3 04:bd:88:76:f9:e0 -55
4 04:bd:88:76:f9:e1 -55
5 04:bd:88:76:f9:e2 -57
6 04:bd:88:76:f5:82 -76
7 04:bd:88:76:f5:80 -79
8 04:bd:88:76:f5:81 -79
9 04:bd:88:76:f4:20 -81
10 04:bd:88:76:f4:21 -81
11 98:e7:f4:45:9b:4a -82
12 18:64:72:29:09:c1 -82
13 04:bd:88:76:f4:22 -82
14 18:64:72:29:09:c0 -82
15 18:64:72:29:09:c2 -83
16 04:bd:88:76:f7:22 -84
17 da:13:99:be:66:e4 -85
18 04:bd:88:76:f4:32 -85
19 04:bd:88:76:f7:20 -86
20 18:64:72:29:09:d0 -86
21 04:bd:88:76:f4:31 -86
22 04:bd:88:76:f4:c2 -87
23 18:64:72:29:09:d1 -87
24 18:64:72:29:09:d2 -87
25 70:8b:cd:5e:4f:f0 -87
26 04:bd:88:76:f7:21 -88
27 04:bd:88:76:f4:c1 -88

room 2 2020-11-30 18:12:34.213
                BSSID  RSSI
