room 2 2020-12-06 19:27:25.990
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -54
1 04:bd:88:76:f9:f2 -54
2 04:bd:88:76:f9:e2 -44
3 04:bd:88:76:f4:22 -79
4 04:bd:88:76:f5:82 -80
5 18:64:72:29:09:c2 -84
6 10:da:43:0e:46:de -85
7 84:d4:7e:4a:6d:a2 -86
8 62:45:b7:78:a1:82 -87
9 04:bd:88:76:f9:f0 -54
10 04:bd:88:76:f9:e0 -43
11 04:bd:88:76:f9:e1 -43
12 04:bd:88:76:f5:80 -80
13 04:bd:88:76:f4:20 -81
14 04:bd:88:76:f5:81 -82
15 18:64:72:29:09:c0 -83
16 18:64:72:29:09:c1 -84

room 2 2020-12-06 19:27:33.052
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -54
1 04:bd:88:76:f9:f2 -54
2 04:bd:88:76:f9:e2 -40
3 04:bd:88:76:f5:82 -82
4 18:64:72:29:09:c2 -78
5 84:d4:7e:4a:6d:a2 -86
6 04:bd:88:76:f9:f0 -54
7 04:bd:88:76:f9:e0 -40
8 04:bd:88:76:f9:e1 -40
9 04:bd:88:76:f5:80 -82
10 04:bd:88:76:f5:81 -81
11 18:64:72:29:09:c0 -82
12 18:64:72:29:09:c1 -82
13 98:e7:f4:45:9b:4a -84
14 04:bd:88:76:f4:c2 -85
15 58:cb:52:ad:23:c6 -86
16 84:d4:7e:4a:4a:e2 -86
17 62:45:b6:ce:ac:21 -83

room 2 2020-12-06 19:27:40.009
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -54
1 04:bd:88:76:f9:f2 -54
2 04:bd:88:76:f9:e2 -41
3 04:bd:88:76:f5:82 -64
4 18:64:72:29:09:c2 -83
5 84:d4:7e:4a:6d:a2 -86
6 04:bd:88:76:f9:f0 -54
7 04:bd:88:76:f9:e0 -40
8 04:bd:88:76:f9:e1 -40
9 04:bd:88:76:f5:80 -81
10 04:bd:88:76:f5:81 -82
11 18:64:72:29:09:c0 -83
12 18:64:72:29:09:c1 -82
13 98:e7:f4:45:9b:4a -84
14 04:bd:88:76:f4:c2 -86
15 58:cb:52:ad:23:c6 -86
16 84:d4:7e:4a:4a:e2 -86
17 62:45:b6:ce:ac:21 -83
18 04:bd:88:76:f4:22 -77
19 04:bd:88:77:07:22 -85
20 16:ae:db:f9:8e:5a -86
21 04:bd:88:76:f7:22 -86
