room 1 2020-12-01 17:33:32.132
                BSSID  RSSI
0 04:bd:88:76:f9:e0 -59
1 04:bd:88:76:f9:e1 -59
2 04:bd:88:76:f9:e2 -60
3 04:bd:88:76:f9:f1 -60
4 04:bd:88:76:f9:f0 -60
5 04:bd:88:76:f9:f2 -60
6 62:45:b6:ce:ac:21 -79
7 ea:b4:76:3b:c9:b1 -82
8 04:bd:88:76:f5:80 -82
9 04:bd:88:76:f5:81 -84
10 04:bd:88:76:f5:82 -85
11 04:bd:88:76:f4:21 -86
12 04:bd:88:76:f4:22 -87
13 04:bd:88:77:07:22 -87
14 12:d0:7a:c5:05:b5 -87
15 84:d4:7e:4a:4c:02 -87
16 04:bd:88:76:f4:20 -88
17 84:d4:7e:4a:68:02 -88
18 04:bd:88:77:07:21 -88
19 04:bd:88:77:07:20 -89
20 04:bd:88:77:07:62 -92

room 1 2020-12-01 17:34:02.154
                BSSID  RSSI
0 04:bd:88:76:f9:e0 -60
1 04:bd:88:76:f9:f1 -60
2 04:bd:88:76:f9:e1 -60
3 04:bd:88:76:f9:f0 -61
4 04:bd:88:76:f9:f2 -61
5 04:bd:88:76:f9:e2 -63
6 ea:b4:76:3b:c9:b1 -79
7 04:bd:88:76:f6:80 -83
8 04:bd:88:76:f6:81 -83
9 04:bd:88:76:f7:22 -85
10 04:bd:88:76:f7:20 -86
11 70:8b:cd:5e:4f:f0 -86
12 04:bd:88:76:f6:82 -86
13 04:bd:88:76:f7:21 -87
14 04:bd:88:77:08:20 -87
15 04:bd:88:77:08:22 -87
16 84:d4:7e:4a:68:00 -88
17 12:d0:7a:c5:05:b5 -89
18 84:d4:7e:4a:1c:42 -89
19 04:bd:88:77:f2:a2 -91
20 70:3a:0e:45:93:02 -91

room 1 2020-12-01 17:34:32.154
                BSSID  RSSI
0 04:bd:88:76:f9:e0 -59
1 04:bd:88:76:f9:e1 -59
2 04:bd:88:76:f9:e2 -60
3 04:bd:88:76:f9:f1 -62
4 04:bd:88:76:f9:f0 -62
5 04:bd:88:76:f9:f2 -62
6 ea:b4:76:3b:c9:b1 -79
7 04:bd:88:76:f6:81 -82
8 04:bd:88:76:f5:82 -85
9 98:e7:f4:45:9b:4a -85
10 04:bd:88:76:f7:20 -86
11 04:bd:88:76:f6:82 -86
12 04:bd:88:76:f4:20 -86
13 86:2a:fd:60:d4:6f -86
14 04:bd:88:76:f4:22 -87
15 04:bd:88:76:f4:c0 -87
16 04:bd:88:76:f4:c1 -87
17 84:d4:7e:4a:4c:02 -87
18 70:8b:cd:5e:4f:f0 -89
19 18:64:72:29:09:d2 -89
20 d8:eb:97:ed:c8:36 -89
21 04:bd:88:77:f2:a2 -90
22 16:ae:db:f9:8e:5a -90
23 04:bd:88:76:f4:21 -90

room 1 2020-12-01 17:35:02.263
                BSSID  RSSI
0 04:bd:88:76:f9:e0 -58
1 04:bd:88:76:f9:e1 -58
2 04:bd:88:76:f9:e2 -61
3 04:bd:88:76:f9:f1 -62
4 04:bd:88:76:f9:f0 -62
5 04:bd:88:76:f9:f2 -62
6 04:bd:88:76:f7:22 -75
7 62:45:b7:78:a1:82 -79
8 04:bd:88:76:f5:81 -81
9 04:bd:88:76:f6:81 -83
10 04:bd:88:76:f5:80 -83
11 04:bd:88:76:f6:80 -83
12 04:bd:88:76:f5:82 -84
13 62:45:b6:ce:ac:21 -84
14 18:64:72:29:09:c0 -85
15 04:bd:88:76:f7:20 -86
16 04:bd:88:76:f6:82 -86
17 fe:f5:c4:82:95:d6 -88
18 04:bd:88:77:08:21 -88
19 04:bd:88:77:07:20 -89
20 04:bd:88:77:07:22 -89
21 04:bd:88:77:08:20 -89
22 84:d4:7e:4a:4c:02 -90
23 04:bd:88:77:07:21 -90
24 84:d4:7e:4a:ce:82 -90
25 84:d4:7e:4a:68:02 -90

room 1 2020-12-01 17:35:32.253
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -58
1 04:bd:88:76:f9:e0 -61
2 04:bd:88:76:f9:e1 -61
3 04:bd:88:76:f9:f1 -62
4 04:bd:88:76:f9:f0 -65
5 04:bd:88:76:f9:f2 -65
6 ea:b4:76:3b:c9:b1 -80
7 04:bd:88:76:f6:81 -82
8 98:e7:f4:45:9b:4a -84
9 18:64:72:29:09:c2 -85
10 18:64:72:29:09:c1 -85
11 04:bd:88:77:08:22 -85
12 04:bd:88:77:08:21 -86
13 04:bd:88:76:f4:c0 -86
14 04:bd:88:76:f4:c1 -87
15 70:8b:cd:5e:4f:f0 -87
16 a0:04:60:6c:92:94 -88
17 84:d4:7e:4a:68:02 -89
18 12:d0:7a:c5:05:b5 -89
19 04:bd:88:76:f4:c2 -91

room 1 2020-12-01 17:36:02.289
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -59
1 04:bd:88:76:f9:f0 -60
2 04:bd:88:76:f9:f2 -60
3 04:bd:88:76:f9:e0 -62
4 04:bd:88:76:f9:e1 -62
5 04:bd:88:76:f9:e2 -63
6 ea:b4:76:3b:c9:b1 -78
7 04:bd:88:76:f6:80 -82
8 04:bd:88:76:f6:81 -84
9 04:bd:88:77:08:21 -85
10 04:bd:88:76:f7:22 -85
11 04:bd:88:76:f7:20 -85
12 04:bd:88:76:f6:82 -85
13 04:bd:88:76:f4:c1 -86
14 04:bd:88:76:f7:21 -86
15 04:bd:88:77:08:22 -87
16 04:bd:88:76:f4:22 -87
17 04:bd:88:76:f4:c0 -88
18 04:bd:88:77:07:22 -88
19 04:bd:88:76:f4:20 -88
20 04:bd:88:76:f4:21 -88
21 04:bd:88:77:08:02 -88
22 84:d4:7e:4a:1c:42 -90

room 1 2020-12-01 17:36:32.333
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -59
1 04:bd:88:76:f9:e1 -60
2 04:bd:88:76:f9:e0 -61
3 04:bd:88:76:f9:f1 -69
4 04:bd:88:76:f9:f0 -69
5 04:bd:88:76:f9:f2 -69
6 ea:b4:76:3b:c9:b1 -78
7 62:45:b7:78:a1:82 -78
8 04:bd:88:76:f6:81 -82
9 04:bd:88:76:f6:80 -83
10 04:bd:88:76:f5:82 -83
11 62:45:b6:ce:ac:21 -84
12 04:bd:88:77:08:21 -87
13 04:bd:88:76:f4:22 -87
14 04:bd:88:77:08:20 -87
15 04:bd:88:76:f6:82 -88
16 04:bd:88:76:f4:21 -89
17 04:bd:88:77:07:22 -90
18 84:d4:7e:4a:68:02 -91

room 1 2020-12-01 17:37:02.368
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -59
1 04:bd:88:76:f9:e0 -60
2 04:bd:88:76:f9:e1 -60
3 04:bd:88:76:f9:f1 -63
4 04:bd:88:76:f9:f0 -63
5 04:bd:88:76:f9:f2 -63
6 04:bd:88:76:f6:80 -81
7 04:bd:88:76:f6:82 -85
8 04:bd:88:77:08:20 -85
9 84:d4:7e:4a:68:01 -87
10 04:bd:88:77:08:21 -88
11 12:d0:7a:c5:05:b5 -88
12 04:bd:88:77:08:22 -88
13 16:ae:db:f9:8e:5a -90
14 fe:f5:c4:82:95:d6 -91

room 1 2020-12-01 17:37:32.363
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -57
1 04:bd:88:76:f9:e0 -57
2 04:bd:88:76:f9:e1 -57
3 04:bd:88:76:f9:f1 -66
4 04:bd:88:76:f9:f0 -66
5 04:bd:88:76:f9:f2 -66
6 ea:b4:76:3b:c9:b1 -81
7 04:bd:88:76:f5:80 -82
8 04:bd:88:76:f6:80 -83
9 04:bd:88:76:f6:81 -83
10 04:bd:88:76:f7:20 -86
11 04:bd:88:76:f4:21 -87
12 04:bd:88:76:f4:22 -88
13 04:bd:88:76:f4:20 -89
14 04:bd:88:77:08:02 -89
15 84:d4:7e:4a:4c:02 -90
16 16:ae:db:f9:8e:5a -91

room 1 2020-12-01 17:38:02.526
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -57
1 04:bd:88:76:f9:e0 -59
2 04:bd:88:76:f9:e1 -59
3 04:bd:88:76:f9:f1 -64
4 04:bd:88:76:f9:f0 -64
5 04:bd:88:76:f9:f2 -64
6 62:45:b7:78:a1:82 -79
7 ea:b4:76:3b:c9:b1 -80
8 04:bd:88:76:f4:22 -83
9 04:bd:88:76:f5:81 -83
10 98:e7:f4:45:9b:4a -83
11 86:2a:fd:60:d4:6f -83
12 d8:eb:97:ed:c8:36 -83
13 04:bd:88:76:f5:82 -85
14 04:bd:88:76:f4:c0 -85
15 04:bd:88:76:f4:c1 -85
16 04:bd:88:76:f6:82 -86
17 04:bd:88:76:f4:21 -87
18 ea:6f:38:06:5f:16 -88
19 a0:04:60:6c:92:94 -88
20 70:8b:cd:5e:4f:f0 -88
21 84:d4:7e:4a:1c:42 -88
22 12:d0:7a:c5:05:b5 -89
23 16:ae:db:f9:8e:5a -90
24 04:bd:88:77:08:02 -90

room 1 2020-12-01 17:38:32.459
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -58
1 04:bd:88:76:f9:e0 -58
2 04:bd:88:76:f9:e1 -58
3 04:bd:88:76:f9:f1 -68
4 04:bd:88:76:f9:f0 -68
5 04:bd:88:76:f9:f2 -68
6 ea:b4:76:3b:c9:b1 -76
7 04:bd:88:77:07:62 -83
8 70:8b:cd:5e:4f:f0 -85
9 04:bd:88:76:f6:82 -86
10 04:bd:88:76:f7:20 -86
11 04:bd:88:77:08:20 -86
12 12:d0:7a:c5:05:b5 -87
13 16:ae:db:f9:8e:5a -90

room 1 2020-12-01 17:39:02.591
                BSSID  RSSI
0 04:bd:88:76:f9:e1 -55
1 04:bd:88:76:f9:e0 -56
2 04:bd:88:76:f9:e2 -57
3 04:bd:88:76:f9:f1 -69
4 04:bd:88:76:f9:f0 -69
5 04:bd:88:76:f9:f2 -69
6 ea:b4:76:3b:c9:b1 -76
7 62:45:b7:78:a1:82 -78
8 86:2a:fd:60:d4:6f -80
9 04:bd:88:76:f6:80 -82
10 04:bd:88:76:f6:81 -82
11 04:bd:88:77:08:20 -84
12 04:bd:88:77:07:22 -84
13 62:45:b6:ce:ac:21 -84
14 04:bd:88:76:f4:22 -85
15 18:64:72:29:09:c2 -85
16 04:bd:88:77:08:21 -85
17 12:d0:7a:c5:05:b5 -86
18 04:bd:88:77:08:22 -86
19 04:bd:88:76:f6:82 -87
20 04:bd:88:77:07:20 -87
21 04:bd:88:76:f4:21 -87
22 fe:f5:c4:82:95:d6 -89
23 70:3a:0e:45:93:02 -90

room 1 2020-12-01 17:39:32.595
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -57
1 04:bd:88:76:f9:e0 -58
2 04:bd:88:76:f9:e1 -58
3 04:bd:88:76:f9:f1 -63
4 04:bd:88:76:f9:f0 -63
5 04:bd:88:76:f9:f2 -63
6 62:45:b7:78:a1:82 -79
7 ea:b4:76:3b:c9:b1 -81
8 04:bd:88:76:f6:80 -83
9 04:bd:88:76:f6:81 -83
10 04:bd:88:76:f4:c1 -83
11 04:bd:88:76:f7:21 -84
12 86:2a:fd:60:d4:6f -85
13 98:e7:f4:45:9b:4a -85
14 04:bd:88:76:f7:22 -86
15 04:bd:88:76:f7:20 -86
16 04:bd:88:76:f6:82 -87
17 ea:6f:38:06:5f:16 -87
18 04:bd:88:76:f4:c0 -87
19 04:bd:88:76:f4:c2 -87
20 12:d0:7a:c5:05:b5 -88
21 04:bd:88:76:f4:21 -88
22 04:bd:88:77:07:21 -89
23 84:d4:7e:4a:68:00 -89
24 04:bd:88:77:08:02 -90

room 1 2020-12-01 17:40:02.806
                BSSID  RSSI
0 04:bd:88:76:f9:e0 -59
1 04:bd:88:76:f9:e1 -59
2 04:bd:88:76:f9:f1 -64
3 04:bd:88:76:f9:f0 -64
4 04:bd:88:76:f9:f2 -65
5 04:bd:88:76:f9:e2 -66
6 ea:b4:76:3b:c9:b1 -78
7 98:e7:f4:45:9b:4a -82
8 04:bd:88:76:f6:80 -83
9 04:bd:88:76:f5:80 -84
10 18:64:72:29:09:c2 -84
11 04:bd:88:77:08:22 -84
12 04:bd:88:76:f7:20 -85
13 04:bd:88:76:f5:82 -85
14 a0:04:60:6c:92:94 -85
15 86:2a:fd:60:d4:6f -86
16 04:bd:88:76:f7:22 -86
17 04:bd:88:76:f7:21 -86
18 04:bd:88:76:f4:c1 -86
19 04:bd:88:76:f4:22 -86
20 04:bd:88:76:f4:c0 -87
21 ea:6f:38:06:5f:16 -88
22 12:d0:7a:c5:05:b5 -89
23 04:bd:88:77:08:02 -89
24 04:bd:88:76:f4:21 -90
25 16:ae:db:f9:8e:5a -91

room 1 2020-12-01 17:40:32.814
                BSSID  RSSI
0 04:bd:88:76:f9:e0 -60
1 04:bd:88:76:f9:e1 -60
2 04:bd:88:76:f9:e2 -62
3 04:bd:88:76:f9:f1 -62
4 04:bd:88:76:f9:f0 -62
5 04:bd:88:76:f9:f2 -62
6 ea:b4:76:3b:c9:b1 -82
7 04:bd:88:76:f6:80 -82
8 04:bd:88:76:f5:80 -83
9 04:bd:88:76:f7:22 -85
10 04:bd:88:76:f4:c1 -85
11 04:bd:88:76:f5:82 -85
12 04:bd:88:76:f6:82 -87
13 04:bd:88:76:f4:c0 -88
14 84:d4:7e:4a:68:01 -88
15 84:d4:7e:4a:68:02 -90

room 1 2020-12-01 17:41:02.918
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -59
1 04:bd:88:76:f9:e0 -60
2 04:bd:88:76:f9:e1 -61
3 04:bd:88:76:f9:f1 -70
4 04:bd:88:76:f9:f0 -70
5 04:bd:88:76:f9:f2 -71
6 62:45:b7:78:a1:82 -79
7 18:64:72:29:09:c2 -79
8 ea:b4:76:3b:c9:b1 -81
9 04:bd:88:76:f6:80 -82
10 04:bd:88:76:f5:80 -82
11 04:bd:88:76:f6:82 -83
12 98:e7:f4:45:9b:4a -83
13 04:bd:88:76:f5:81 -83
14 04:bd:88:77:07:22 -85
15 86:2a:fd:60:d4:6f -85
16 04:bd:88:76:f5:82 -86
17 62:45:b6:ce:ac:21 -86
18 04:bd:88:77:08:22 -86
19 fa:4f:ad:43:5a:cf -87
