room 3 2020-12-03 02:29:08.739
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -59
1 04:bd:88:76:f9:e0 -61
2 04:bd:88:76:f9:e1 -61
3 04:bd:88:76:f9:f1 -69
4 04:bd:88:76:f9:f0 -69
5 04:bd:88:76:f9:f2 -69
6 62:45:b7:78:a1:82 -72
7 04:bd:88:77:08:20 -82
8 04:bd:88:76:f5:81 -82
9 04:bd:88:76:f5:80 -83
10 04:bd:88:77:08:21 -83
11 84:d4:7e:4a:d1:e2 -83
12 84:d4:7e:4a:d1:e1 -83
13 84:d4:7e:4a:d1:e0 -83
14 04:bd:88:77:08:22 -83
15 04:bd:88:76:f5:82 -84
16 04:bd:88:76:f4:21 -84
17 04:bd:88:76:f4:22 -84
18 04:bd:88:76:f4:20 -86
19 84:d4:7e:4a:68:01 -87
20 12:d0:7a:c5:05:b5 -87
21 fe:f5:c4:82:95:d6 -87
22 70:3a:0e:45:93:02 -89
23 04:bd:88:76:f4:c2 -89
24 ae:ae:19:57:45:64 -89
25 04:bd:88:76:f6:e2 -89
26 84:d4:7e:4a:68:00 -89
27 84:d4:7e:4a:68:02 -90
28 d8:eb:97:ed:c8:36 -90
29 6c:f3:7f:7f:7c:c2 -92

room 3 2020-12-03 02:29:38.831
                BSSID  RSSI
0 62:45:b6:ce:ac:21 -59
1 04:bd:88:76:f9:e2 -64
2 04:bd:88:76:f9:e0 -64
3 04:bd:88:76:f9:e1 -64
4 04:bd:88:76:f9:f1 -70
5 04:bd:88:76:f9:f0 -70
6 04:bd:88:76:f9:f2 -70
7 12:d0:7a:c5:05:b5 -77
8 84:d4:7e:4a:d1:e2 -81
9 84:d4:7e:4a:d1:e1 -81
10 04:bd:88:76:f5:80 -82
11 84:d4:7e:4a:d1:e0 -82
12 04:bd:88:76:f5:81 -83
13 04:bd:88:76:f4:20 -84
14 04:bd:88:76:f4:22 -84
15 fa:4f:ad:43:5a:cf -84
16 84:d4:7e:4a:4c:00 -84
17 84:d4:7e:4a:4c:01 -84
18 84:d4:7e:4a:68:00 -85
19 84:d4:7e:4a:68:01 -86
20 70:3a:0e:45:93:02 -88
21 84:d4:7e:4a:4c:02 -88
22 fe:f5:c4:82:95:d6 -89
23 84:d4:7e:4a:4a:e2 -89
24 84:d4:7e:4a:d4:a2 -91
25 84:d4:7e:4a:4b:e2 -93

room 3 2020-12-03 02:30:08.859
                BSSID  RSSI
0 62:45:b6:ce:ac:21 -59
1 04:bd:88:76:f9:e0 -63
2 04:bd:88:76:f9:e1 -63
3 04:bd:88:76:f9:e2 -65
4 04:bd:88:76:f9:f1 -70
5 04:bd:88:76:f9:f0 -71
6 04:bd:88:76:f9:f2 -71
7 12:d0:7a:c5:05:b5 -76
8 84:d4:7e:4a:d1:e2 -79
9 04:bd:88:77:08:20 -79
10 84:d4:7e:4a:d1:e1 -81
11 84:d4:7e:4a:d1:e0 -81
