room 1 2020-12-02 22:24:53.048
                BSSID  RSSI
0 04:bd:88:76:f9:f0 -57
1 04:bd:88:76:f9:f2 -57
2 04:bd:88:76:f9:f1 -58
3 04:bd:88:76:f9:e2 -58
4 04:bd:88:76:f9:e0 -61
5 04:bd:88:76:f9:e1 -61
6 04:bd:88:76:f5:80 -82
7 12:d0:7a:c5:05:b5 -83
8 04:bd:88:76:f5:82 -83
9 04:bd:88:76:f5:81 -84
10 04:bd:88:76:f4:20 -85
11 84:d4:7e:4a:92:82 -85
12 84:d4:7e:4a:68:01 -85
13 04:bd:88:76:f4:22 -86
14 62:45:b7:78:a1:82 -86
15 04:bd:88:76:f4:21 -87
16 04:bd:88:76:f4:c2 -87
17 70:3a:0e:45:93:02 -90

room 1 2020-12-02 22:25:23.149
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -55
1 04:bd:88:76:f9:e0 -57
2 04:bd:88:76:f9:e1 -57
3 04:bd:88:76:f9:f1 -60
4 04:bd:88:76:f9:f0 -60
5 04:bd:88:76:f9:f2 -60
6 84:d4:7e:4a:92:82 -75
7 62:45:b6:ce:ac:21 -78
8 04:bd:88:76:f5:81 -83
9 04:bd:88:76:f4:c2 -83
10 04:bd:88:77:08:20 -83
11 04:bd:88:76:f4:20 -86
12 84:d4:7e:4a:68:01 -86
13 04:bd:88:77:08:21 -86
14 04:bd:88:77:08:22 -86
15 84:d4:7e:4a:68:02 -86
16 04:bd:88:76:f4:22 -87
17 04:bd:88:76:f4:21 -87
18 18:64:72:29:09:c0 -87
19 20:a6:cd:fd:07:42 -89

room 1 2020-12-02 22:25:53.162
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -53
1 04:bd:88:76:f9:e1 -54
2 04:bd:88:76:f9:e0 -55
3 04:bd:88:76:f9:f1 -61
4 04:bd:88:76:f9:f0 -61
5 04:bd:88:76:f9:f2 -61
6 04:bd:88:76:f5:81 -77
7 04:bd:88:76:f5:80 -82
8 d8:eb:97:ed:c8:36 -86
9 60:38:e0:bd:e6:29 -88
10 10:da:43:0e:46:de -90
11 04:bd:88:77:05:e2 -91
12 04:bd:88:76:f7:22 -92

room 1 2020-12-02 22:26:23.136
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -55
1 04:bd:88:76:f9:e0 -57
2 04:bd:88:76:f9:e1 -57
3 04:bd:88:76:f9:f1 -61
4 04:bd:88:76:f9:f0 -61
5 04:bd:88:76:f9:f2 -61
6 04:bd:88:76:f5:81 -81
7 62:45:b7:78:a1:82 -83
8 12:d0:7a:c5:05:b5 -84
9 98:e7:f4:45:9b:4a -84
10 d8:eb:97:ed:c8:36 -86
11 04:bd:88:76:f7:20 -90
12 04:bd:88:76:f7:21 -90

room 1 2020-12-02 22:26:53.266
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -54
1 04:bd:88:76:f9:e0 -56
2 04:bd:88:76:f9:e1 -57
3 04:bd:88:76:f9:f1 -60
4 04:bd:88:76:f9:f0 -60
5 04:bd:88:76:f9:f2 -60
6 62:45:b6:ce:ac:21 -78
7 04:bd:88:76:f5:82 -82
8 98:e7:f4:45:9b:4a -84
9 04:bd:88:76:f4:22 -84
10 84:d4:7e:4a:68:01 -84
11 18:64:72:29:09:c0 -85
12 04:bd:88:76:f6:80 -85
13 18:64:72:29:09:c1 -86
14 86:2a:fd:60:d4:6f -87
15 fa:4f:ad:43:5a:cf -87
16 84:d4:7e:4a:68:00 -87
17 84:d4:7e:4a:92:82 -88
18 04:bd:88:76:f4:c1 -88
19 04:bd:88:77:05:e2 -88
20 04:bd:88:76:f6:82 -89
21 04:bd:88:77:08:02 -90
22 20:a6:cd:fd:07:42 -91

room 1 2020-12-02 22:27:23.281
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -55
1 04:bd:88:76:f9:e0 -56
2 04:bd:88:76:f9:e1 -56
3 04:bd:88:76:f9:f1 -60
4 04:bd:88:76:f9:f0 -60
5 04:bd:88:76:f9:f2 -60
6 04:bd:88:76:f5:82 -76
7 04:bd:88:76:f5:80 -82
8 04:bd:88:76:f5:81 -82
9 62:45:b7:78:a1:82 -83
10 04:bd:88:76:f4:22 -84
11 18:64:72:29:09:c0 -84
12 18:64:72:29:09:c1 -84
13 18:64:72:29:09:c2 -84
14 04:bd:88:77:08:21 -84
15 12:d0:7a:c5:05:b5 -85
16 04:bd:88:76:f6:80 -86
17 04:bd:88:76:f4:21 -86
18 70:8b:cd:5e:4f:f0 -86
19 04:bd:88:76:f6:81 -87
20 04:bd:88:76:f6:82 -88
21 04:bd:88:77:05:e2 -90
22 16:ae:db:f9:8e:5a -90
