room 3 2020-12-07 13:50:41.596
                BSSID  RSSI
0 3e:95:69:bc:cc:16 -54
1 2c:95:69:bc:cc:16 -54
2 4e:95:69:bc:cc:16 -54
3 78:f2:9e:1c:b3:90 -59
4 78:f2:9e:1c:b3:88 -59
5 4e:95:69:bc:cc:15 -60
6 8a:f2:9e:1c:b3:90 -62
7 8e:f2:9e:1c:b3:90 -62
8 3e:95:69:bc:cc:15 -63
9 6a:02:92:a6:e7:78 -64
10 2c:95:69:bc:cc:15 -64
11 86:f2:9e:1c:b3:88 -64
12 60:02:92:a6:e7:78 -65
13 10:33:bf:4f:66:24 -67
14 10:33:bf:4f:66:22 -67
15 10:33:bf:4f:66:20 -67
16 82:f2:9e:1c:b3:88 -67
17 c4:65:16:51:3e:95 -68
18 4e:7a:8a:6c:c4:64 -69
19 f4:0e:83:c2:45:19 -71
20 3c:7a:8a:6c:c4:64 -71
21 8e:8f:e0:44:d0:85 -72
22 6e:8f:e0:44:d0:85 -72
23 5c:8f:e0:44:d0:85 -72
24 f6:aa:a0:7f:57:d0 -72
25 ec:aa:a0:7f:57:d0 -72
26 9e:34:26:74:f7:c2 -72
27 02:aa:a0:7f:57:d0 -73
28 7e:8f:e0:44:d0:85 -73
29 06:0e:83:c2:45:19 -78
30 5e:7a:8a:6c:c4:6a -78
31 4e:7a:8a:6c:c4:6a -78
32 3c:7a:8a:6c:c4:6a -78
33 6e:7a:8a:6c:c4:6a -78
34 f6:c1:14:6a:4d:0f -78
35 26:0e:83:ee:c2:58 -81
36 76:02:92:a5:d3:68 -82
37 6a:02:92:a5:d3:68 -82
38 f4:0e:83:ee:c2:58 -82
39 16:0e:83:ee:c2:58 -82
40 06:0e:83:ee:c2:58 -82
41 7a:02:92:a5:d3:68 -83
42 f4:0e:83:ee:c2:57 -84
43 0a:f5:32:94:a0:a4 -85
44 f8:f5:32:94:a0:a4 -86
45 2a:f5:32:94:a0:a4 -86
46 9e:ad:43:b0:95:20 -87
47 32:f1:9e:42:24:a2 -88
48 42:f1:9e:42:24:a2 -88
49 00:1d:d1:71:1d:a0 -90

room 3 2020-12-07 13:50:41.840
                BSSID  RSSI
0 3e:95:69:bc:cc:16 -54
1 2c:95:69:bc:cc:16 -54
2 4e:95:69:bc:cc:16 -54
3 78:f2:9e:1c:b3:90 -59
4 78:f2:9e:1c:b3:88 -59
5 4e:95:69:bc:cc:15 -60
6 8a:f2:9e:1c:b3:90 -62
7 8e:f2:9e:1c:b3:90 -62
8 3e:95:69:bc:cc:15 -63
9 6a:02:92:a6:e7:78 -64
10 2c:95:69:bc:cc:15 -64
11 86:f2:9e:1c:b3:88 -64
12 60:02:92:a6:e7:78 -65
13 10:33:bf:4f:66:24 -67
14 10:33:bf:4f:66:22 -67
15 10:33:bf:4f:66:20 -67
16 82:f2:9e:1c:b3:88 -67
