room 2 2020-11-22 11:56:02.965
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -38
1 04:bd:88:76:f9:e0 -39
2 04:bd:88:76:f9:e1 -39
3 04:bd:88:76:f9:f1 -45
4 04:bd:88:76:f9:f0 -45
5 04:bd:88:76:f9:f2 -45
6 18:64:72:29:09:c2 -63
7 62:45:b7:78:a1:82 -73
8 04:bd:88:76:f5:80 -80
9 04:bd:88:76:f5:82 -80
10 04:bd:88:76:f5:81 -81
11 04:bd:88:76:f4:22 -82
12 04:bd:88:76:f4:21 -83
13 04:bd:88:76:f4:20 -83
14 98:e7:f4:45:9b:4a -85
15 04:bd:88:76:f6:80 -86
16 18:64:72:29:09:c1 -87
17 d8:eb:97:ed:c8:36 -88
18 04:bd:88:76:f7:22 -89
19 04:bd:88:76:f6:82 -90
20 04:bd:88:77:07:22 -92

